plaintive -----悲伤地 mornful
languish ----“像鬼一样”枯萎的
fulcrum 支点
surmise 假设
choir 唱诗班
audacious 大胆的
distressing 低落的----痛苦的
scion 嫩枝
contrite 后悔
degenerate 退化降级
freak 怪人
unfathomed 不可捉摸的
belch 打嗝
compliant 抱怨的
equanimity 平等---镇定
fiend 恶魔
abut 毗邻
persnickety 挑毛病
retributive 报应的 retribution
chauvinism 大国沙文主义
lore 全部知识
ringlet 发卡--卷发
paleolithic 旧石器时代的
plume 炫耀的----一缕(烟等)；羽毛，羽饰
conjugal 夫妻的
effulgent 辉煌的
overwhelm 溢出的
cougar 美洲豹
bleachers 违背者---露天座位
mangle ----压碎
insufficiency 不充足的
morbidity 病态的
provenance 凸出的----出处，起源orgin
corrigendum ----应改正的错误，正误表
awe-inspiring 极其鼓舞人的---令人敬畏的
hovel 盘旋-----茅舍hover
fallow 休耕
deplete 枯竭，耗尽
aggregation 聚集
scandal 丑闻
chronometer  ---精密计时器
nonesuch 无可匹敌的 
strum  .(漫不经心地)弹奏
illuminating 照耀的 
motley 杂色的
ejaculation 弹射
vandalize 蓄意破坏
respecter 尊敬者
orthopedics 矫正师，整形师
log  日志
aroma 芳香
hypersensitive 高敏感的
annotate 注解
adoration 崇拜
chunky 大块的----矮胖的
pestle ----杵
profanity 亵渎
double-cross 出卖
full-fledged 成熟的
debilitate 是疲惫衰弱
peptic 肽的
hack 砍
daubster 拙劣的画家
din ---嘈杂声 dim
sever 切开
fig 无花果
drudge 苦工
quiescent 沉默的--静止不动的
instill 蒸馏---滴注
embroil ------involve 牵连，卷入纠纷
magnate 有权势的人
crate 把。。。装入箱中
chump ------袋子笨蛋
grope 搜索
refulgent --辉煌
impose 施加
testimonial 证词---证明书
jeopardy 损害
enkindle 
elongation 延长
garnish 俗艳的---装饰
gauche 失态
kudos 柔道
warp 扭曲
dwindle 逐渐变小
malapropism 子的无用
expedition 远行
squat 蹲
sterile 贫瘠，不生育的
intimacy 亲密
truce 休战
remiss 怠慢的，疏忽，不留心的
compel 迫使
provincial 省的
nitpick 挑剔。吹毛求疵
glare 怒目而视
satire 讽刺
